StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific,Q104,superstition,Q106,religious,Q108,superlative,Q110,political,exi_1,avl_1,inv_1,avd_1,mot_1,vul_1,surprise_1,att.surprise,sen_1,att.evi,jus_1,att.jus,bet_1,voluntarism_1,double_1,really_1,consider_1,predict_1,context_1,age,gen,race,thought,text
2025-12-28 17:39:24,2025-12-28 17:43:30,1,,100,245,1,2025-12-28 17:43:30,R_6k1gGkIRFcqrAOw,,,,,41.3186,-72.9302,preview,EN,1,a,5,,5,,4,My brother is the meanest person in the whole world,5,,8,80,66,7,44,88,0,3,11,1,60,1,0,69,63,18,56,59,73,18,1,9,1,My brother is the meanest person in the whole world
2025-12-29 09:04:13,2025-12-29 09:05:56,0,75.87.205.121,100,103,1,2025-12-29 09:05:57,R_6Wg9W3qwyDTwB7X,,,,,44.277,-88.4011,anonymous,EN,1,6429ffe11a9806a9a95ad072,,,,,4,Angela was the most obnoxious coworker I have ever had the displeasure to be around.,,,,,,,,,,,,,99,2,,,,,97,,,,,,1,Angela was the most obnoxious coworker I have ever had the displeasure to be around.
2025-12-29 09:03:46,2025-12-29 09:06:59,0,70.18.202.136,100,193,1,2025-12-29 09:06:59,R_3TYEyL6uHVqOIxP,,,,,40.8,-73.9763,anonymous,EN,1,6942ed43abdcd95c666211e7,,,,,4,"My mom is the most caring person in the whole world. ",,,0,76,51,42,45,24,73,3,74,1,76,1,27,75,35,39,50,12,71,20,1,3,1,"My mom is the most caring person in the whole world. "
2025-12-29 09:03:54,2025-12-29 09:07:05,0,86.12.126.229,100,190,1,2025-12-29 09:07:06,R_2XaIiW2tUgiKQ6t,,,,,52.9648,-1.2132,anonymous,EN,1,6701f65ca63a3fae9d2e820e,,,4,What happens after death,,,,,59,67,,36,,85,8,3,21,2,66,1,,,0,100,92,30,72,,,,1,What happens after death
2025-12-29 09:03:44,2025-12-29 09:07:14,0,216.15.111.165,100,210,1,2025-12-29 09:07:15,R_3JmU33qZsowfOEi,,,,,40.5995,-75.3763,anonymous,EN,1,654dc6da0fc827b2e98ad492,4,If I chew gum before work my day will go better.,,,,,,,53,56,,,19,13,,,,,30,2,3,82,,21,,,,,,,1,If I chew gum before work my day will go better.
2025-12-29 09:04:22,2025-12-29 09:07:22,0,24.55.163.70,100,179,1,2025-12-29 09:07:23,R_63VKNwVM6PQpECB,,,,,18.3328,-66.9912,anonymous,EN,1,66946e3054a30a2bf5b1be40,,,,,4,I had the worst professor in existence,,,9,85,31,28,100,83,77,3,32,1,100,1,87,50,22,85,84,27,88,21,1,2,1,I had the worst professor in existence
2025-12-29 09:04:13,2025-12-29 09:07:46,0,100.11.100.162,100,212,1,2025-12-29 09:07:47,R_7q99uFP4zjlxGEm,,,,,40.2363,-75.296,anonymous,EN,1,5fc7a6aaa7646c0009521161,,,,,,,4,I think the US should rewrite the entire constitution,82,50,58,26,60,18,67,3,79,1,100,2,50,,23,100,100,76,39,,,,1,I think the US should rewrite the entire constitution
2025-12-29 09:06:23,2025-12-29 09:07:51,0,2.96.232.171,100,88,1,2025-12-29 09:07:52,R_8OTrROqyVcSJVN8,,,,,53.9573,-1.0837,anonymous,EN,1,5df113553ccda2021de405d1,5,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,0,
2025-12-29 09:04:00,2025-12-29 09:07:58,0,86.16.14.34,100,237,1,2025-12-29 09:07:58,R_2qwpNpnzum0PlYn,,,,,51.4098,-0.0249,anonymous,EN,1,5fe7bc4ec39215684de426f4,,,4,god's plan - whenever something goes right or wrong,,,5,,,0,,,,,21,3,,,37,2,,,,,33,38,58,,,,1,god's plan - whenever something goes right or wrong
2025-12-29 09:04:26,2025-12-29 09:08:23,0,46.64.70.186,100,237,1,2025-12-29 09:08:23,R_8R3a5prb4tzrIVD,,,,,51.4535,-2.5917,anonymous,EN,1,60325f7577ccb72319bf3c63,5,,5,,4,My 'wife is the best,5,,83,79,63,14,97,78,100,3,50,1,79,1,50,73,3,100,83,0,12,39,2,2,1,My 'wife is the best
2025-12-29 09:05:40,2025-12-29 09:08:35,0,81.155.44.204,100,174,1,2025-12-29 09:08:35,R_832xTPieDeeB1wD,,,,,51.4674,-0.3556,anonymous,EN,1,5c43b8f45aca820001f73cee,4,"a superstitious thought i have had is that if i break a mirror
i will get 7 years bad luck ",,,,,,,,0,,0,81,26,,,82,2,30,1,0,72,,22,,28,30,,,,1,"a superstitious thought i have had is that if i break a mirror
i will get 7 years bad luck "
2025-12-29 09:03:42,2025-12-29 09:08:41,0,95.145.165.115,100,299,1,2025-12-29 09:08:41,R_2Jdqsw06hJhe98Z,,,,,53.0491,-2.4196,anonymous,EN,1,6772a1d3faf7d2c4cd4e9f61@email.prolific.com,,,4,Is there someone higher than us watching over us at times,,,5,,24,16,8,83,22,83,3,3,62,1,44,1,66,97,88,60,82,42,84,52,2,2,1,Is there someone higher than us watching over us at times
2025-12-29 09:05:33,2025-12-29 09:09:27,0,99.131.48.114,100,234,1,2025-12-29 09:09:28,R_5fcFJ8XBftCNAat,,,,,35.7622,-78.6016,anonymous,EN,1,5e9f3f09ccc75a0c345e4845,,,4,I wonder if there is a god,,,5,,86,26,82,4,81,3,50,3,97,1,50,1,50,95,51,50,50,30,29,66,1,2,1,I wonder if there is a god
2025-12-29 09:07:37,2025-12-29 09:09:38,0,72.218.13.167,100,121,1,2025-12-29 09:09:39,R_7hoxcggL8IqnOcY,,,,,37.033,-76.3156,anonymous,EN,1,5db48b4d14dab8000de45fdf,5,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,0,
2025-12-29 09:04:08,2025-12-29 09:09:43,0,86.134.194.200,100,335,1,2025-12-29 09:09:43,R_2TtLmacvgpn043O,,,,,52.3636,-0.6789,anonymous,EN,1,5d33589df665c6001ab9a801,4,"That I can’t walk over three drains otherwise I will have bad luck ",,,,,,,61,14,1,45,5,73,29,3,21,1,40,1,32,70,30,91,97,16,5,30,1,2,1,"That I can’t walk over three drains otherwise I will have bad luck "
2025-12-29 09:05:55,2025-12-29 09:09:47,0,96.233.160.58,100,232,1,2025-12-29 09:09:47,R_6jxi3r58z5R6Kil,,,,,42.1139,-72.5508,anonymous,EN,1,6757c7df61a1989317e6c428,4,"If I don't touch my door three times when I leave, something bad will happen",,,,,,,23,53,54,40,53,24,46,3,79,1,82,1,50,52,50,77,64,53,27,51,1,2,1,"If I don't touch my door three times when I leave, something bad will happen"
2025-12-29 09:04:07,2025-12-29 09:09:48,0,74.141.57.113,100,341,1,2025-12-29 09:09:48,R_3oyDjZVDuiCsERT,,,,,41.5053,-81.5566,anonymous,EN,1,6290ebb13a126c60c9cb7d11,,,,,4,I'm lucky to have some of the friends that I do.,,,42,73,36,55,30,61,36,3,31,1,72,1,85,69,27,84,42,35,63,38,2,2,1,I'm lucky to have some of the friends that I do.
2025-12-29 09:06:05,2025-12-29 09:09:51,0,76.36.28.134,100,226,1,2025-12-29 09:09:51,R_3KOBVWpvYOAvzTH,,,,,35.2416,-81.2181,anonymous,EN,1,610e6880f784d836a872a9a5,,,4,How can I be sure God exists,,,,,10,12,0,26,15,100,0,3,0,1,100,1,23,29,100,61,100,31,40,40,1,2,1,How can I be sure God exists
2025-12-29 09:04:24,2025-12-29 09:09:57,0,72.218.12.118,100,333,1,2025-12-29 09:09:58,R_6WTjmDYj5y21CFq,,,,,37.0737,-76.4988,anonymous,EN,1,565c6791c121fe0012fc3caf,,,,,4,My mom is the most caring and considerate person that I know. She is my best friend.,,,38,66,16,69,45,85,100,3,22,1,100,1,94,100,0,100,3,73,5,39,1,2,1,My mom is the most caring and considerate person that I know. She is my best friend.
2025-12-29 09:05:49,2025-12-29 09:10:01,0,38.242.179.120,100,252,1,2025-12-29 09:10:01,R_82uhFex14IADgeN,,,,,51.5026,-0.1339,anonymous,EN,1,5c765990f33ac60016b7b2a1,,,,,4,My daughter is the best thing to ever happen to me,,,0,100,100,100,100,100,100,3,1,1,100,1,100,100,0,100,0,46,0,34,2,2,1,My daughter is the best thing to ever happen to me
2025-12-29 09:03:50,2025-12-29 09:10:01,0,31.104.104.200,100,371,1,2025-12-29 09:10:02,R_2fdgnIgEx4xWAGo,,,,,53.2827,-3.0433,anonymous,EN,1,60147f790be39349d775e4f2,,,,,,,4,People with severe learning disabilities should be prevented from reproducing,41,44,58,0,62,10,21,3,100,1,92,1,0,0,66,38,78,0,82,65,1,2,1,People with severe learning disabilities should be prevented from reproducing
2025-12-29 09:06:57,2025-12-29 09:10:11,0,68.49.115.190,100,194,1,2025-12-29 09:10:11,R_79T01fH2nKSPV3H,,,,,42.2022,-83.1992,anonymous,EN,1,5b91dc16cc81a400017a3438,,,,,4,My boss comes up with the worst ideas,,,0,,61,,,,,,79,2,,,4,,,100,96,4,,,,,1,My boss comes up with the worst ideas
2025-12-29 09:04:05,2025-12-29 09:10:11,0,24.160.187.55,100,366,1,2025-12-29 09:10:12,R_6Po2TG0kYVsGow1,,,,,41.3893,-81.3049,anonymous,EN,1,67589d6615f569547c2df178,,,,,,,4,"During the pandemic, while I uphold personal freedom, I thought the gov should have mandated mask-wearing and other preventive measures.",42,94,91,15,76,39,33,3,85,1,85,1,58,94,47,73,92,44,35,36,1,2,1,"During the pandemic, while I uphold personal freedom, I thought the gov should have mandated mask-wearing and other preventive measures."
2025-12-29 09:06:34,2025-12-29 09:10:18,0,109.147.47.56,100,224,1,2025-12-29 09:10:19,R_2rf67roJtEF1VPb,,,,,51.6158,-1.2368,anonymous,EN,1,5e7def6e3a915c48aa9d3209,,,,,4,"My friend S is simply lovely, a very pure soul",,,84,26,34,85,0,92,100,3,39,1,57,1,87,100,0,100,14,94,0,61,1,2,1,"My friend S is simply lovely, a very pure soul"
2025-12-29 09:06:38,2025-12-29 09:10:26,0,98.114.140.222,100,227,1,2025-12-29 09:10:26,R_5pDO8y6o08sBEzH,,,,,40.2104,-74.8278,anonymous,EN,1,5f6b8930b9d9530b1b065360,4,If I do something good for someone I will have better fortune.,5,,,,,,8,60,29,27,56,52,20,3,78,1,83,1,18,87,22,57,79,24,26,43,2,2,1,If I do something good for someone I will have better fortune.
2025-12-29 09:04:18,2025-12-29 09:10:30,0,50.88.64.7,100,371,1,2025-12-29 09:10:31,R_7lXG8ZIEcM7O9fu,,,,,28.132,-80.7078,anonymous,EN,1,5be42f3b98f5f40001a994f4,,,4,A God that made people go to Hell is not a good God.,,,,,100,0,0,0,0,100,100,3,0,1,75,1,50,0,0,100,74,0,0,68,2,2,1,A God that made people go to Hell is not a good God.
2025-12-29 09:04:01,2025-12-29 09:10:46,0,68.56.150.220,100,405,1,2025-12-29 09:10:46,R_579Uy7GBYGN0k3T,,,,,42.6456,-83.3563,anonymous,EN,1,5c2cb4149461620001c075c2,,,,,4,My husband is the most caring person in the world,5,,1,100,97,2,100,94,100,3,99,1,100,1,93,100,0,95,96,75,7,66,1,2,1,My husband is the most caring person in the world
2025-12-29 09:04:21,2025-12-29 09:10:56,0,86.137.44.170,100,394,1,2025-12-29 09:10:56,R_2O4rsAlPbEXyg5X,,,,,52.999,-2.1871,anonymous,EN,1,5c51d18698b0ff000110da96,4,"if I spill salt, I need to throw some over my shoulder to avoid bad luck",,,,,,,50,0,0,0,0,66,0,3,17,1,1,1,0,100,66,29,12,0,50,41,1,9,1,"if I spill salt, I need to throw some over my shoulder to avoid bad luck"
2025-12-29 09:04:00,2025-12-29 09:11:01,0,137.79.95.247,100,421,1,2025-12-29 09:11:02,R_5eRy0vxSavPRI5G,,,,,34.1124,-118.0925,anonymous,EN,1,671f12c5d2543b67c0f12e57,,,5,,4,"My boss is the absolute best and most chill. ",,,50,60,60,36,58,37,50,3,62,1,98,1,62,100,38,68,61,24,58,32,1,5,1,"My boss is the absolute best and most chill. "
2025-12-29 09:06:19,2025-12-29 09:11:01,0,66.222.34.118,100,282,1,2025-12-29 09:11:02,R_3YVViblSaLWEjjf,,,,,39.1893,-83.9446,anonymous,EN,1,5f402eb4fbd8df145068b805,4,"If I dream about death, it will happen.",,,,,5,,65,50,33,11,1,2,0,3,95,1,24,1,0,97,95,9,22,1,92,65,1,2,1,"If I dream about death, it will happen."
2025-12-29 09:04:47,2025-12-29 09:11:02,0,69.247.198.147,100,375,1,2025-12-29 09:11:02,R_3N51kLzAhRXyxoM,,,,,39.015,-94.1986,anonymous,EN,1,5c91fc9c183fb70012f3510a,,,,,4,"The guy I dated briefly is an awful person, stay away from him.",,,99,100,100,63,100,100,100,3,0,1,100,1,100,100,0,100,83,75,0,54,2,2,1,"The guy I dated briefly is an awful person, stay away from him."
2025-12-29 09:04:55,2025-12-29 09:11:11,0,172.59.125.248,100,376,1,2025-12-29 09:11:12,R_6k1cLLJaQz9r88P,,,,,35.5144,-97.5865,anonymous,EN,1,65f4de464a8635751f0c14f2,,,,,4,My brother is very narcissistic.,,,0,100,100,0,50,74,100,3,36,1,100,1,100,100,0,100,83,83,0,40,1,2,1,My brother is very narcissistic.
2025-12-29 09:06:11,2025-12-29 09:11:12,0,113.20.52.121,100,301,1,2025-12-29 09:11:12,R_5jE2GacXiCcCH3a,,,,,39.0814,-77.6443,anonymous,EN,1,67ef5e1ea8330a7744f39e17,,,4,I believe so,,,,,27,79,86,82,65,76,84,3,79,1,82,1,88,78,79,72,84,80,15,46,2,4,1,I believe so
2025-12-29 09:04:12,2025-12-29 09:11:17,0,173.48.214.9,100,424,1,2025-12-29 09:11:17,R_5lbrtdqXE9Xr6Ku,,,,,42.2878,-71.3587,anonymous,EN,1,6712b53345c966536d238e89,,,,,4,My friend only calls me when they need a favor.,,,0,100,62,0,100,17,100,3,100,1,100,1,100,0,0,100,100,100,0,37,2,2,1,My friend only calls me when they need a favor.
2025-12-29 09:06:54,2025-12-29 09:11:34,0,84.68.22.175,100,280,1,2025-12-29 09:11:35,R_8PT2aj1HHhbL9DV,,,,,53.3528,-1.4845,anonymous,EN,1,628b8fb9d25b3424dd467988,,,,,4,"My last boss was by far the worse boss I ever had in my 20 plus year career. She was a narcissist and utterly incapable of doing her job at ",,,0,33,71,,,35,94,3,78,2,,,100,100,,,100,0,0,,,,1,"My last boss was by far the worse boss I ever had in my 20 plus year career. She was a narcissist and utterly incapable of doing her job at "
2025-12-29 09:06:07,2025-12-29 09:11:47,0,90.247.227.7,100,340,1,2025-12-29 09:11:48,R_20hMJCqF3Ux1Sji,,,,,51.7862,-1.2231,anonymous,EN,1,630d1aea50e36df79c80f34f,,,,,4,"How my daughter helps everyone in the family ",,,0,100,71,0,100,100,100,3,14,1,0,1,100,100,0,100,0,87,0,68,2,2,1,"How my daughter helps everyone in the family "
2025-12-29 09:05:27,2025-12-29 09:11:53,0,86.147.31.67,100,386,1,2025-12-29 09:11:53,R_8AurWfKT3eUh601,,,,,53.2797,-2.9128,anonymous,EN,1,5be9b18df5c1060001085048,,,5,,4,My wofe Therese is not only beautiful she is a lovely person as well and I am so lucky to be with her,,,100,100,100,100,100,0,100,3,0,1,100,1,100,100,0,100,0,0,0,38,2,2,1,My wofe Therese is not only beautiful she is a lovely person as well and I am so lucky to be with her
2025-12-29 09:04:17,2025-12-29 09:11:54,0,136.37.88.188,100,456,1,2025-12-29 09:11:54,R_7EuyW4oyednGjIi,,,,,39.1995,-94.5265,anonymous,EN,1,5e7a2ccd69a7770604dfb352,,,,,4,My mother in law is the most selfish person I know.,,,0,86,100,5,100,32,100,3,100,1,100,1,100,5,0,99,100,100,1,52,1,2,1,My mother in law is the most selfish person I know.
2025-12-29 09:06:23,2025-12-29 09:11:55,0,174.67.21.102,100,332,1,2025-12-29 09:11:55,R_1fxWPaVEG7EobLE,,,,,35.2025,-97.4835,anonymous,EN,1,5ebc6d34046b2a0bc9f2b3b8,,,,,,,4,"I think young people should be entitled to some sort of basic stipend. I think we should take the boomer's properties and redistribute.  ",21,68,82,11,91,60,58,3,44,1,97,1,60,69,0,100,73,0,0,28,3,2,1,"I think young people should be entitled to some sort of basic stipend. I think we should take the boomer's properties and redistribute.  "
2025-12-29 09:06:02,2025-12-29 09:12:07,0,90.194.169.79,100,365,1,2025-12-29 09:12:08,R_8RX6OYHZi2XZ9L0,,,,,55.9425,-3.1363,anonymous,EN,1,66e48a2f722b573550b3796f,,,,,,,4,It is time to reconsider communism- capitalism does not work,9,76,71,23,50,29,29,3,50,1,77,1,50,91,16,82,83,80,24,53,1,2,1,It is time to reconsider communism- capitalism does not work
2025-12-29 09:07:12,2025-12-29 09:12:12,0,98.97.8.148,100,299,1,2025-12-29 09:12:13,R_3m14xLg4wElqcEN,,,,,41.8835,-87.6305,anonymous,EN,1,62891f0c151d0193dd342f81,,,,,4,I am lucky to have my amazing wife,,,47,95,59,73,100,79,100,3,55,1,100,1,100,89,0,100,62,83,81,36,2,2,1,I am lucky to have my amazing wife
2025-12-29 09:03:28,2025-12-29 09:12:18,0,75.186.103.193,100,529,1,2025-12-29 09:12:18,R_1G9PX3MBxbxPQZz,,,,,39.336,-84.3126,anonymous,EN,1,60fd39703a387e7cfb6893b7,,,,,4,My mother-in-law's cooking is the absolute worst.,,,32,92,80,17,100,91,100,3,4,1,93,1,91,11,0,93,100,81,0,49,1,2,1,My mother-in-law's cooking is the absolute worst.
2025-12-29 09:05:11,2025-12-29 09:12:23,0,51.9.95.251,100,432,1,2025-12-29 09:12:23,R_8qCkuQhxPn4lgYc,,,,,55.867,-4.3056,anonymous,EN,1,574da26c7f1e770007f42d11,,,,,4,"I had a thought that I could become a rock star sometime in the future, though it is a pious thought. ",,,6,88,82,15,83,17,1,3,88,1,62,1,18,91,91,16,28,9,66,70,2,2,1,"I had a thought that I could become a rock star sometime in the future, though it is a pious thought. "
2025-12-29 09:05:55,2025-12-29 09:12:23,0,98.149.6.8,100,388,1,2025-12-29 09:12:23,R_1IAXkKTF2RzaZwX,,,,,33.7873,-117.9231,anonymous,EN,1,6314bc49055e150c92f4736e,4,If I don’t get my first cup of coffee I will not have a good day,,,,,,,72,27,24,34,27,32,23,3,23,1,64,1,67,76,58,77,89,0,41,36,2,5,1,If I don’t get my first cup of coffee I will not have a good day
2025-12-29 09:06:29,2025-12-29 09:12:27,0,66.190.102.152,100,358,1,2025-12-29 09:12:27,R_5mDHphmz5RHiuGq,,,,,32.6487,-97.335,anonymous,EN,1,66f47421b650b6c39e80fa0d,,,4,Religion is primarily not good for the world.,,,,,0,97,98,28,97,79,75,3,57,1,100,1,96,31,36,88,100,55,26,37,1,2,1,Religion is primarily not good for the world.
2025-12-29 09:06:08,2025-12-29 09:12:33,0,80.5.119.140,100,385,1,2025-12-29 09:12:34,R_27hmBUA9Dt6Alup,,,,,51.3997,-0.2515,anonymous,EN,1,68c994664202d1ba8a38a33b,4,stepping on the white lines at a crosswalk brings bad luck,,,,,,,100,0,0,87,10,0,0,3,0,1,0,1,0,88,91,0,18,0,90,34,1,5,1,stepping on the white lines at a crosswalk brings bad luck
2025-12-29 09:06:12,2025-12-29 09:12:35,0,172.59.124.217,100,382,1,2025-12-29 09:12:35,R_5chnkhHeviPyK53,,,,,35.5144,-97.5865,anonymous,EN,1,67b795fcea3a1dba350ab9b4,4,I need to knock on wood when I say something negative that I dont want to happen,,,,,,,61,22,3,0,15,82,62,3,35,1,92,1,33,100,23,69,83,13,22,27,2,6,1,I need to knock on wood when I say something negative that I dont want to happen
2025-12-29 09:04:30,2025-12-29 09:12:37,0,195.59.13.19,100,487,1,2025-12-29 09:12:37,R_2BWrEEavSt86Fbo,,,,,51.4964,-0.1224,anonymous,EN,1,67698e94c727a4a942390c57,4,"inevitable we all have as they are so common and we always hear someone stating them at some point ! ",,,,,5,,28,31,78,41,32,32,86,3,51,1,63,1,91,54,67,85,74,13,68,61,1,2,1,"inevitable we all have as they are so common and we always hear someone stating them at some point ! "
