StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific,Q136,geography,Q106,religious,Q134,number,Q110,political,Q138,maybe,mot_1,surprise_1,att.surprise,jus_1,att.jus,bet_1,double_1,consider_1,predict_1,context_1,Q146_1,att.sense,dishonest_1,Q150_1,serious_1,Q149_1,single_1,really_1,deeper_1,age,gen,race,PROLIFIC_PID,thought,text,FL_95_DO,FL_42_DO,FL_136_DO,FL_150_DO,FL_151_DO
2026-03-23 15:31:19,2026-03-23 15:35:18,0,99.103.122.86,100,238,1,2026-03-23 15:35:18,R_3IVA3bfLhoT2k4F,,,,,29.5656,-95.2747,anonymous,EN,1,5d3695969749cc00165c222f,,,,,,,,,4,That some older folks who grew up watching black and white TV are said to have some dreams in black and white.,23,23,3,79,1,76,63,76,5,67,6,2,14,,,8,3,,87,,,,5d3695969749cc00165c222f,1,That some older folks who grew up watching black and white TV are said to have some dreams in black and white.,FL_137|FL_99|FL_103|FL_101|FL_98,FL_78|FL_80|Considered|Betting|Context-sensitivity|Beliefbecauseofevidence|Double-bookkeeping|Prediction,FL_150|Singlebookkeeping|FL_151|Deepersense|FL_143|Reallybelieve,Dishonest,Serious2
2026-03-23 15:30:49,2026-03-23 15:35:28,0,86.31.63.6,100,278,1,2026-03-23 15:35:28,R_8eVvaebihG7esbd,,,,,52.25,-0.8833,anonymous,EN,1,55d51a6b8ce09000127d4821,,,5,,,,5,,4,Rome is farther north than New York,100,42,3,100,1,70,54,68,0,59,0,1,16,,,19,72,78,58,36,2,2,55d51a6b8ce09000127d4821,1,Rome is farther north than New York,FL_103|FL_99|FL_137|FL_101|FL_98,Betting|FL_80|Context-sensitivity|Considered|FL_78|Prediction|Double-bookkeeping|Beliefbecauseofevidence,Deepersense|FL_143|Singlebookkeeping|FL_150|FL_151|Reallybelieve,Dishonest,Serious2
2026-03-23 15:30:51,2026-03-23 15:35:32,0,72.8.67.142,100,281,1,2026-03-23 15:35:32,R_3dtLQd9NINwzPca,,,,,40.8514,-96.7139,anonymous,EN,1,69a6e19366f31b3e3460f2b7,,,,,,,,,4,Humans are made of 70% water,46,60,3,70,1,57,56,78,52,42,6,1,12,,78,,93,81,63,26,2,2,69a6e19366f31b3e3460f2b7,1,Humans are made of 70% water,FL_137|FL_101|FL_99|FL_98|FL_103,Considered|Beliefbecauseofevidence|Double-bookkeeping|FL_80|Context-sensitivity|Betting|FL_78|Prediction,Deepersense|FL_143|FL_151|FL_150|Reallybelieve|Singlebookkeeping,Dishonest,Serious
2026-03-23 15:31:23,2026-03-23 15:35:33,0,130.44.143.14,100,250,1,2026-03-23 15:35:33,R_3FJ2NGgZEa3Nwpk,,,,,42.3797,-71.1034,anonymous,EN,1,5c3a865019ceb400010c914a,4,Boston is the capital of Massachusetts.,,,,,,,,,100,96,3,85,1,100,1,3,24,0,0,1,,0,,0,97,100,96,47,2,5,5c3a865019ceb400010c914a,1,Boston is the capital of Massachusetts.,FL_98|FL_101|FL_99|FL_137|FL_103,Context-sensitivity|Considered|Prediction|Double-bookkeeping|Beliefbecauseofevidence|Betting|FL_78|FL_80,FL_143|Reallybelieve|FL_150|Deepersense|FL_151|Singlebookkeeping,Dishonest2,Serious2
2026-03-23 15:31:36,2026-03-23 15:35:40,0,173.26.187.233,100,243,1,2026-03-23 15:35:40,R_1P9TCkqvfkEGVbj,,,,,41.3421,-88.8426,anonymous,EN,1,65b98fe25e75b5acc3f44626,,,,,,,4,"I believe communism is the best goal for society, after working through the process of capitalism (which is past its prime).",,,92,85,3,100,1,89,0,100,79,0,6,1,,0,,0,100,100,100,38,2,3,65b98fe25e75b5acc3f44626,1,"I believe communism is the best goal for society, after working through the process of capitalism (which is past its prime).",FL_103|FL_99|FL_98|FL_137|FL_101,FL_78|Prediction|Double-bookkeeping|Considered|Betting|FL_80|Beliefbecauseofevidence|Context-sensitivity,Deepersense|FL_151|FL_143|FL_150|Reallybelieve|Singlebookkeeping,Dishonest2,Serious2
2026-03-23 15:31:18,2026-03-23 15:35:40,0,92.40.111.0,100,261,1,2026-03-23 15:35:41,R_2FrAZa4PpYOKeqt,,,,,51.9142,-0.3716,anonymous,EN,1,66cc6eb364154a51d4d44eb1,,,,,4,i thought i won the lottery,,,,,0,0,3,100,1,0,64,18,65,0,0,1,0,,,100,0,0,76,53,2,2,66cc6eb364154a51d4d44eb1,1,i thought i won the lottery,FL_101|FL_98|FL_137|FL_99|FL_103,Considered|FL_80|Context-sensitivity|Beliefbecauseofevidence|Betting|Double-bookkeeping|Prediction|FL_78,FL_143|FL_150|Singlebookkeeping|Deepersense|FL_151|Reallybelieve,Dishonest,Serious2
2026-03-23 15:31:07,2026-03-23 15:35:43,0,97.106.4.248,100,276,1,2026-03-23 15:35:44,R_1e7B94xY0MUlez7,,,,,28.8525,-82.4858,anonymous,EN,1,5a4bf09053a4560001ba0ebf,,,,,,,,,4,Whales are mammals.,100,100,3,100,1,100,0,3,3,0,0,1,,0,100,,100,100,100,38,2,2,5a4bf09053a4560001ba0ebf,1,Whales are mammals.,FL_137|FL_98|FL_99|FL_103|FL_101,Beliefbecauseofevidence|Prediction|Context-sensitivity|FL_78|FL_80|Considered|Double-bookkeeping|Betting,FL_150|Deepersense|Singlebookkeeping|FL_151|Reallybelieve|FL_143,Dishonest2,Serious
2026-03-23 15:32:37,2026-03-23 15:35:44,0,172.58.167.204,100,186,1,2026-03-23 15:35:44,R_1mXBg3cXSTpViQS,,,,,41.8835,-87.6305,anonymous,EN,1,5c2c62542c45d400014a32e6,,,,,,,4,Workers should seize the means of production.,,,90,66,3,100,1,60,10,83,31,7,2,1,,9,90,,90,88,73,31,2,5,5c2c62542c45d400014a32e6,1,Workers should seize the means of production.,FL_103|FL_137|FL_101|FL_99|FL_98,FL_80|Considered|Context-sensitivity|Beliefbecauseofevidence|Double-bookkeeping|FL_78|Betting|Prediction,Singlebookkeeping|FL_143|Reallybelieve|FL_151|Deepersense|FL_150,Dishonest2,Serious
2026-03-23 15:31:03,2026-03-23 15:35:49,0,86.20.66.21,100,286,1,2026-03-23 15:35:49,R_84nK8HKjMFkc1W0,,,,,50.8345,-0.186,anonymous,EN,1,6695278758244f9d6186746e,,,,,,,,,4,Ants will not die even if they fall from the highest of heights,100,100,3,100,1,100,0,100,53,0,0,1,,0,0,,100,100,100,39,2,2,6695278758244f9d6186746e,1,Ants will not die even if they fall from the highest of heights,FL_137|FL_103|FL_101|FL_98|FL_99,Beliefbecauseofevidence|FL_78|Considered|Context-sensitivity|FL_80|Double-bookkeeping|Betting|Prediction,FL_143|FL_150|Singlebookkeeping|FL_151|Deepersense|Reallybelieve,Dishonest2,Serious
2026-03-23 15:32:15,2026-03-23 15:35:51,0,69.139.26.125,100,216,1,2026-03-23 15:35:51,R_1CddBAlY4gVbENm,,,,,39.7384,-75.6656,anonymous,EN,1,69a1bd9851ae70bbaf35cd23,4,New Castle County is about above Kent in DE.,,,,,,,,,97,99,3,86,1,100,0,83,5,80,0,2,0,,,0,100,100,100,,,,69a1bd9851ae70bbaf35cd23,1,New Castle County is about above Kent in DE.,FL_98|FL_101|FL_99|FL_137|FL_103,Double-bookkeeping|FL_78|Context-sensitivity|FL_80|Prediction|Beliefbecauseofevidence|Considered|Betting,Reallybelieve|FL_150|Deepersense|FL_151|Singlebookkeeping|FL_143,Dishonest,Serious2
2026-03-23 15:32:39,2026-03-23 15:35:55,0,86.15.69.74,100,195,1,2026-03-23 15:35:56,R_8KOatG5XgTs3VOF,,,,,53.0278,-2.1658,anonymous,EN,1,62b44b9958864d679bdb2c20,4,Iceland is an amazing country and I'd really love to go back and explore more,,,,,,,,,93,86,3,100,1,100,6,67,13,0,8,1,0,,87,,92,100,87,30,2,2,62b44b9958864d679bdb2c20,1,Iceland is an amazing country and I'd really love to go back and explore more,FL_98|FL_99|FL_103|FL_101|FL_137,Prediction|Context-sensitivity|FL_80|Considered|Beliefbecauseofevidence|FL_78|Double-bookkeeping|Betting,FL_150|Reallybelieve|Singlebookkeeping|FL_151|Deepersense|FL_143,Dishonest,Serious
2026-03-23 15:32:22,2026-03-23 15:36:06,0,165.120.173.34,100,224,1,2026-03-23 15:36:07,R_2Rg74lqonWFdYkx,,,,,54.5245,-1.551,anonymous,EN,1,5ecb8b9769a97533b322eabf,,,4,"Not recently but more when I was a younger, i suppose a belief in some sort of higher hand of justice.",,,,,,,10,50,3,82,1,50,23,100,14,85,14,2,,21,,,,,,,,,5ecb8b9769a97533b322eabf,1,"Not recently but more when I was a younger, i suppose a belief in some sort of higher hand of justice.",FL_99|FL_101|FL_137|FL_103|FL_98,Prediction|Beliefbecauseofevidence|Considered|FL_78|FL_80|Context-sensitivity|Double-bookkeeping|Betting,FL_150|FL_143|Reallybelieve|Singlebookkeeping|Deepersense|FL_151,Dishonest2,
2026-03-23 15:31:54,2026-03-23 15:36:09,0,109.148.108.71,100,254,1,2026-03-23 15:36:10,R_8PbTTyw6ZeuyDJj,,,,,51.4469,0.0509,anonymous,EN,1,6696236dcb1ba5aa7aa82459,,,4,"I had thought that it will help if I pray ",,,,,,,91,58,3,82,1,17,58,73,13,95,27,1,15,,,25,74,72,70,49,1,2,6696236dcb1ba5aa7aa82459,1,"I had thought that it will help if I pray ",FL_99|FL_101|FL_98|FL_137|FL_103,Prediction|Considered|Betting|Beliefbecauseofevidence|Double-bookkeeping|Context-sensitivity|FL_80|FL_78,Reallybelieve|FL_143|Deepersense|Singlebookkeeping|FL_150|FL_151,Dishonest,Serious2
2026-03-23 15:31:30,2026-03-23 15:36:18,0,2.216.160.136,100,288,1,2026-03-23 15:36:18,R_8DIN0sVoKuA4SXk,,,,,55.8141,-4.3606,anonymous,EN,1,5f2af36061a10a452cd8dc4e,,,5,,,,4,i've thought about distrubting the wealth and making the uk more socialist the pros and cons,,,66,21,3,100,1,25,82,100,84,85,13,1,5,,,58,80,74,68,28,1,2,5f2af36061a10a452cd8dc4e,1,i've thought about distrubting the wealth and making the uk more socialist the pros and cons,FL_99|FL_103|FL_98|FL_101|FL_137,Considered|FL_78|Beliefbecauseofevidence|FL_80|Prediction|Betting|Double-bookkeeping|Context-sensitivity,FL_143|Deepersense|Singlebookkeeping|Reallybelieve|FL_151|FL_150,Dishonest,Serious2
2026-03-23 15:31:20,2026-03-23 15:36:26,0,193.237.17.227,100,306,1,2026-03-23 15:36:27,R_8GBxCe1QNdY6zH9,,,,,53.797,-2.9305,anonymous,EN,1,598f22af33481c000164d359,,,4,i sometimes think that I need to go to church more often so that when I die i dont go to hell,,,,,,,66,54,3,100,1,67,23,85,7,64,7,2,13,,82,,90,83,,,,,598f22af33481c000164d359,1,i sometimes think that I need to go to church more often so that when I die i dont go to hell,FL_99|FL_101|FL_98|FL_103|FL_137,Beliefbecauseofevidence|Considered|Context-sensitivity|FL_78|FL_80|Double-bookkeeping|Betting|Prediction,Singlebookkeeping|Reallybelieve|FL_151|FL_150|FL_143|Deepersense,Dishonest,Serious
2026-03-23 15:32:21,2026-03-23 15:36:27,0,172.58.166.151,100,245,1,2026-03-23 15:36:27,R_3ucflFhWkbasnbH,,,,,41.8835,-87.6305,anonymous,EN,1,699e3b769a712fb2006878f0,,,4,"I sometimes think that good people will go to heaven, and evil people will go to hell. ",,,,,,,42,90,3,90,1,53,6,92,80,43,37,1,28,,,25,69,89,72,36,1,2,699e3b769a712fb2006878f0,1,"I sometimes think that good people will go to heaven, and evil people will go to hell. ",FL_99|FL_137|FL_98|FL_103|FL_101,FL_78|Beliefbecauseofevidence|Context-sensitivity|Considered|Double-bookkeeping|Prediction|FL_80|Betting,FL_151|Deepersense|FL_150|FL_143|Singlebookkeeping|Reallybelieve,Dishonest,Serious2
2026-03-23 15:31:57,2026-03-23 15:36:32,0,199.48.94.124,100,275,1,2026-03-23 15:36:33,R_3hoKea5MI260CfM,,,,,44.0484,-92.4948,anonymous,EN,1,69975d72a097963f499fdb83,,,,,4,I had a thought about how many countries I have visited,,,,,100,100,3,100,1,100,0,0,74,100,0,1,,0,,0,100,100,61,39,1,2,69975d72a097963f499fdb83,1,I had a thought about how many countries I have visited,FL_101|FL_98|FL_99|FL_137|FL_103,Context-sensitivity|FL_80|Considered|Betting|Prediction|Beliefbecauseofevidence|Double-bookkeeping|FL_78,FL_151|Reallybelieve|FL_150|FL_143|Singlebookkeeping|Deepersense,Dishonest2,Serious2
2026-03-23 15:32:06,2026-03-23 15:36:40,0,92.26.98.156,100,274,1,2026-03-23 15:36:41,R_80Uffp36WDHlhyg,,,,,52.6259,1.3032,anonymous,EN,1,5987bfb80e411a0001d83837,,,,,,,,,4,Octopuses have three hearts and blue blood.,17,70,3,62,1,65,0,66,8,31,0,1,11,,,0,57,89,78,34,2,2,5987bfb80e411a0001d83837,1,Octopuses have three hearts and blue blood.,FL_137|FL_99|FL_103|FL_101|FL_98,Betting|Beliefbecauseofevidence|Double-bookkeeping|FL_80|FL_78|Considered|Context-sensitivity|Prediction,Singlebookkeeping|FL_151|Reallybelieve|FL_143|FL_150|Deepersense,Dishonest,Serious2
